#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/aims-leaf/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-20
#curie_map: 
# aimsleaf: https://w3id.org/aims-leaf/
# lambdaber: https://w3id.org/aims-leaf/
# linkml: https://w3id.org/linkml/
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# prov: http://www.w3.org/ns/prov#
# sio: http://semanticscience.org/resource/
# nmdc: https://w3id.org/nmdc/
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# CL: http://purl.obolibrary.org/obo/CL_
# GO: http://purl.obolibrary.org/obo/GO_
# nsls2: https://github.com/NSLS2/BER-LAMBDA/
# imgCIF: https://github.com/dials/cbflib/blob/main/doc/cif_img_1.8.6.dic#
# mmCIF: http://mmcif.wwpdb.org/dictionaries/mmcif_pdbx_v50.dic/Items/
# ROR: https://ror.org/
# wikidata: http://www.wikidata.org/entity/
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# ispyb: https://ispyb.github.io/ISPyB/
# PaNET: http://purl.org/pan-science/PaNET/PaNET
# UO: http://purl.obolibrary.org/obo/UO_
# simplescattering: https://www.simplescattering.com/open_dataset/
# pdb: https://files.rcsb.org/download/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
aimsleaf:ExperimentalMethodEnum#x_ray_diffraction	x_ray_diffraction	skos:exactMatch		CHMO:0000156		skos:exactMatch	https://w3id.org/aims-leaf/						ExperimentalMethodEnum			
aimsleaf:FacilityEnum#NSLS_II	NSLS_II	skos:exactMatch		ROR:01q47ea17		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#ALS	ALS	skos:exactMatch		ROR:02jbv0t02		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#SSRL	SSRL	skos:exactMatch		ROR:05gzmn429		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#ESRF	ESRF	skos:exactMatch		ROR:02550n020		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#DIAMOND	DIAMOND	skos:exactMatch		ROR:05etxs293		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#PHOTON_FACTORY	PHOTON_FACTORY	skos:exactMatch		ROR:01g5y5k24		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#APS	APS	skos:exactMatch		ROR:05gvnxz63		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#SPRING8	SPRING8	skos:exactMatch		ROR:01xjv7358		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#PETRA_III	PETRA_III	skos:exactMatch		ROR:01js2sh04		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#SOLEIL	SOLEIL	skos:exactMatch		ROR:01ydb3330		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
aimsleaf:FacilityEnum#AUSTRALIAN_SYNCHROTRON	AUSTRALIAN_SYNCHROTRON	skos:exactMatch		ROR:03vk18a84		skos:exactMatch	https://w3id.org/aims-leaf/						FacilityEnum			
